
,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len,geometry,state,website,lat,lon
95,Attitash Mountain Resort,https://www.skiresort.info/ski-resort/attitash-mountain-resort/,94.0,North Conway,New Hampshire,37.0,7.4,17.4,12.2,,,,,
96,Mt. Sunapee,https://www.skiresort.info/ski-resort/mt-sunapee/,99.0,Newbury,New Hampshire,30.0,8.0,16.0,6.0,,,,,
97,Sundance,https://www.skiresort.info/ski-resort/sundance/,85.0,Provo,Utah,44.0,15.0,20.0,9.0,"[-111.58797643357562, 40.38032488125004]",Utah,,-111.58797643357562,40.38032488125004
98,Silver Mountain,https://www.skiresort.info/ski-resort/silver-mountain/,62.0,Kellogg,Idaho,25.0,4.0,8.0,13.0,"[-84.829323291779, 45.88944061224898]",Michigan,http://www.michigan.org/property/silver-mountain-ski-area-tubing-hill/,-84.829323291779,45.88944061224898
99,Brundage Mountain,https://www.skiresort.info/ski-resort/brundage-mountain/,70.0,McCall,Idaho,30.0,6.0,15.0,9.0,,,,,
100,Bear Mountain – Big Bear Lake,https://www.skiresort.info/ski-resort/bear-mountain-big-bear-lake/,,Big Bear Lake,California,27.2,8.0,11.2,8.0,,,,,
101,Terry Peak,https://www.skiresort.info/ski-resort/terry-peak/,58.0,Lead,South Dakota,16.0,4.7,7.2,4.1,,,,,
102,Ragged Mountain,https://www.skiresort.info/ski-resort/ragged-mountain/,84.0,Danbury,New Hampshire,22.5,4.5,10.0,8.0,"[-71.84394834459454, 43.47734333355856]",,,-71.84394834459454,43.47734333355856
103,Snowshoe Mountain,https://www.skiresort.info/ski-resort/snowshoe-mountain/,119.0,Marlinton,West Virginia,31.0,14.0,11.0,6.0,"[-79.99286495116277, 38.42216330451435]",West Virginia,,-79.99286495116277,38.42216330451435
104,Snowshoe Mountain,https://www.skiresort.info/ski-resort/snowshoe-mountain/,119.0,Marlinton,West Virginia,31.0,14.0,11.0,6.0,"[-79.99455587514706, 38.424160087161]",West Virginia,http://www.snowshoemtn.com/,-79.99455587514706,38.424160087161
105,Saddleback,https://www.skiresort.info/ski-resort/saddleback/,79.0,Rangeley,Maine,22.0,4.0,8.0,10.0,,,,,
106,Snow Valley,https://www.skiresort.info/ski-resort/snow-valley/,89.0,Highland,California,34.0,4.0,20.0,10.0,"[-72.96943187713597, 43.199419789148]",Vermont,,-72.96943187713597,43.199419789148
107,Beaver Mountain,https://www.skiresort.info/ski-resort/beaver-mountain/,50.0,Logan,Utah,30.0,10.0,12.0,8.0,,,,,
108,Wildcat Mountain,https://www.skiresort.info/ski-resort/wildcat-mountain/,94.0,Jackson,New Hampshire,25.0,5.2,12.1,7.7,"[-71.23230653632866, 44.257868843003834]",,,-71.23230653632866,44.257868843003834
109,Santa Fé,https://www.skiresort.info/ski-resort/santa-fe/,80.0,Santa Fe,New Mexico,34.0,9.0,15.0,10.0,,,,,
110,Timberline Mountain,https://www.skiresort.info/ski-resort/timberline-mountain/,84.0,Davis,West Virginia,18.0,6.0,6.0,6.0,"[-79.39690773244554, 39.036715966828105]",West Virginia,,-79.39690773244554,39.036715966828105
111,Camelback,https://www.skiresort.info/ski-resort/camelback/,70.0,Stroudsburg,Pennsylvania,34.0,20.0,11.0,3.0,,,,,
112,Waterville Valley,https://www.skiresort.info/ski-resort/waterville-valley/,96.0,Waterville Valley,New Hampshire,25.0,3.5,16.0,5.5,"[-71.54023343135474, 43.96078661238709]",New Hampshire,https://www.waterville.com/,-71.54023343135474,43.96078661238709
113,Willamette Pass – Crescent,https://www.skiresort.info/ski-resort/willamette-pass-crescent/,60.0,Crescent,Oregon,29.0,6.0,13.0,10.0,,,,,
114,Snow Summit – Big Bear Lake,https://www.skiresort.info/ski-resort/snow-summit-big-bear-lake/,,Big Bear Lake,California,29.0,10.0,12.0,7.0,,,,,
115,Montana Snowbowl,https://www.skiresort.info/ski-resort/montana-snowbowl/,50.0,Missoula,Montana,31.0,5.0,12.0,14.0,"[-114.00330547195904, 47.022568188476306]",Montana,,-114.00330547195904,47.022568188476306
116,Lookout Pass,https://www.skiresort.info/ski-resort/lookout-pass/,49.0,Mullan,Idaho,31.0,8.0,14.0,9.0,"[-115.70558743624466, 47.45383007947599]",Idaho,http://www.skilookout.com/,-115.70558743624466,47.45383007947599
117,Mountain Creek – Vernon,https://www.skiresort.info/ski-resort/mountain-creek-vernon/,79.99,Vernon Township,New Jersey,24.0,4.0,14.0,6.0,,,,,
118,Belleayre Mountain,https://www.skiresort.info/ski-resort/belleayre-mountain/,95.0,Margaretville,The Catskills,20.0,5.0,11.0,4.0,"[-74.50870176642532, 42.13065101665164]",New York,http://www.belleayre.com/,-74.50870176642532,42.13065101665164
119,Haystack Mountain – The Hermitage Club,https://www.skiresort.info/ski-resort/haystack-mountain-the-hermitage-club/,,Wilmington,Vermont,19.3,5.6,9.5,4.2,,,,,
120,Monarch,https://www.skiresort.info/ski-resort/monarch/,89.0,Salida,Colorado,31.0,5.0,14.0,12.0,,,,,
121,The Summit at Snoqualmie,https://www.skiresort.info/ski-resort/the-summit-at-snoqualmie/,95.0,North Bend,Washington State,27.9,5.2,13.7,9.0,,,,,
122,Mt. Spokane,https://www.skiresort.info/ski-resort/mt-spokane/,62.0,Mead,Washington State,26.0,7.0,5.0,14.0,,,,,
123,Sandia Peak,https://www.skiresort.info/ski-resort/sandia-peak/,55.0,Sandia Park,New Mexico,31.0,8.0,20.0,3.0,,,,,
124,Bristol Mountain,https://www.skiresort.info/ski-resort/bristol-mountain/,79.0,Rochester,Finger Lakes,20.0,6.0,10.0,4.0,,,,,
125,Wachusett Mountain,https://www.skiresort.info/ski-resort/wachusett-mountain/,71.0,Westminster,Massachusetts,12.0,3.6,4.8,3.6,"[-71.88718272382347, 42.496646208823535]",Massachusetts,https://www.wachusett.com/,-71.88718272382347,42.496646208823535
126,Pats Peak,https://www.skiresort.info/ski-resort/pats-peak/,72.0,Henniker,New Hampshire,33.0,10.0,8.0,15.0,"[-71.79511253444815, 43.15711300033449]",,,-71.79511253444815,43.15711300033449
127,Boyne Highlands,https://www.skiresort.info/ski-resort/boyne-highlands/,98.0,Harbor Springs,Michigan,25.7,10.3,7.7,7.7,"[-84.94359571135298, 45.47300075505443]",Michigan,http://www.boyne.com/boynehighlands,-84.94359571135298,45.47300075505443
128,Granby Ranch,https://www.skiresort.info/ski-resort/granby-ranch/,84.0,,Colorado,20.0,6.0,10.0,4.0,,,,,
129,Granite Peak at Rib Mountain State Park,https://www.skiresort.info/ski-resort/granite-peak-at-rib-mountain-state-park/,82.0,Wausau,Wisconsin,20.0,10.0,5.0,5.0,,,,,
130,Magic Mountain,https://www.skiresort.info/ski-resort/magic-mountain/,74.0,Londonderry,Vermont,23.0,7.0,7.0,9.0,"[-72.76646972399514, 43.19468394833611]",,http://www.magicmtn.com,-72.76646972399514,43.19468394833611
131,Diamond Peak,https://www.skiresort.info/ski-resort/diamond-peak/,109.0,Incline Village,Lake Tahoe,16.3,1.6,7.1,7.6,"[-119.91562830185873, 39.2536316126394]",Nevada,http://www.diamondpeak.com/,-119.91562830185873,39.2536316126394
132,Homewood Mountain Resort,https://www.skiresort.info/ski-resort/homewood-mountain-resort/,,Homewood,Lake Tahoe,20.0,6.0,13.0,1.0,"[-120.17251080651721, 39.07811855030552]",,http://www.skihomewood.com/,-120.17251080651721,39.07811855030552
133,Sugar Mountain,https://www.skiresort.info/ski-resort/sugar-mountain/,75.0,Sugar Mountain,North Carolina,14.0,4.0,7.0,3.0,,,,,
134,Titus Mountain,https://www.skiresort.info/ski-resort/titus-mountain/,49.0,Malone,The Adirondacks,27.0,10.0,10.0,7.0,"[-74.235277777778, 44.763333333333016]",New York,,-74.235277777778,44.763333333333016
135,Maverick Mountain,https://www.skiresort.info/ski-resort/maverick-mountain/,39.0,Polaris,Montana,20.0,6.0,8.0,6.0,,,,,
136,Soldier Mountain,https://www.skiresort.info/ski-resort/soldier-mountain/,43.0,Fairfield,Idaho,25.0,9.0,8.0,8.0,"[-114.84175722172614, 43.48494636802227]",Idaho,http://www.soldiermountain.com/,-114.84175722172614,43.48494636802227
137,Mountain High East,https://www.skiresort.info/ski-resort/mountain-high-east/,84.0,Wrightwood,California,11.0,2.0,5.0,4.0,,,,,
138,Boreal,https://www.skiresort.info/ski-resort/boreal/,,Truckee,Lake Tahoe,20.0,6.0,11.0,3.0,,,,,
139,Mt. Baldy,https://www.skiresort.info/ski-resort/mt-baldy/,76.0,Mt Baldy,California,20.0,3.0,6.0,11.0,,,,,
140,Shawnee Peak,https://www.skiresort.info/ski-resort/shawnee-peak/,75.0,Bridgton,Maine,23.0,4.0,12.0,7.0,"[-70.8180850176301, 44.051378195953745]",Maine,http://www.shawneepeak.com/,-70.8180850176301,44.051378195953745
141,Holimont,https://www.skiresort.info/ski-resort/holimont/,75.0,Ellicottville,Chautauqua-Allegheny,20.0,4.0,6.0,10.0,"[-78.68916226727535, 42.271112032447604]",New York,https://holimont.com/,-78.68916226727535,42.271112032447604
142,Mt. Shasta Ski Park,https://www.skiresort.info/ski-resort/mt-shasta-ski-park/,65.0,McCloud,California,23.0,5.0,8.0,10.0,"[-122.20078652590671, 41.327341353626935]",,http://www.skipark.com/,-122.20078652590671,41.327341353626935
143,Sunlight Mountain,https://www.skiresort.info/ski-resort/sunlight-mountain/,65.0,Glenwood Springs,Colorado,20.0,4.0,11.0,5.0,,,,,
144,Pebble Creek,https://www.skiresort.info/ski-resort/pebble-creek/,47.0,Inkom,Idaho,19.0,6.0,9.0,4.0,,,,,
145,Cooper,https://www.skiresort.info/ski-resort/cooper/,56.0,Leadville,Colorado,26.0,8.0,10.0,8.0,,,,,
