,name,link,price,total_len,easy_len,intermediate_len,difficult_len
150, Deer Mountain  (temporarily closed) ,https://www.skiresort.info/ski-resort/deer-mountain/,N/A,22.0,10.0,7.0,5.0
151, Burke Mountain ,https://www.skiresort.info/ski-resort/burke-mountain/,73.0,10.0,2.0,4.0,4.0
152, Nordic Valley ,https://www.skiresort.info/ski-resort/nordic-valley/,50.0,9.5,2.5,4.0,3.0
153, Red River ,https://www.skiresort.info/ski-resort/red-river/,79.0,20.0,7.0,6.0,7.0
154, Eagle Point ,https://www.skiresort.info/ski-resort/eagle-point/,70.0,20.0,6.0,9.0,5.0
155, Bigrock Mountain ,https://www.skiresort.info/ski-resort/bigrock-mountain/,40.0,20.0,2.0,14.0,4.0
156, Shawnee Mountain ,https://www.skiresort.info/ski-resort/shawnee-mountain/,65.0,18.0,4.0,9.0,5.0
157, Arctic Valley ,https://www.skiresort.info/ski-resort/arctic-valley/,45.0,25.0,5.0,10.0,10.0
158, Wintergreen Resort ,https://www.skiresort.info/ski-resort/wintergreen-resort/,89.0,10.0,2.0,4.0,4.0
159, Spirit Mountain ,https://www.skiresort.info/ski-resort/spirit-mountain/,59.0,11.0,4.0,5.0,2.0
160, Greek Peak ,https://www.skiresort.info/ski-resort/greek-peak/,84.0,19.0,9.0,4.0,6.0
161, Mountain High West ,https://www.skiresort.info/ski-resort/mountain-high-west/,84.0,15.0,3.0,5.0,7.0
162, Pine Creek ,https://www.skiresort.info/ski-resort/pine-creek/,45.0,16.0,4.0,7.0,5.0
163, Wisp – McHenry (Deep Creek Lake) ,https://www.skiresort.info/ski-resort/wisp-mchenry-deep-creek-lake/,89.0,16.0,5.6,6.1,4.3
164, Kissing Bridge ,https://www.skiresort.info/ski-resort/kissing-bridge/,60.0,17.8,4.5,4.8,8.5
165, Alpental ,https://www.skiresort.info/ski-resort/alpental/,95.0,9.6,0.5,2.3,6.8
166, Plattekill ,https://www.skiresort.info/ski-resort/plattekill/,67.0,16.5,4.5,6.0,6.0
167, Blue Knob ,https://www.skiresort.info/ski-resort/blue-knob/,75.0,16.0,5.0,8.0,3.0
168, Boyne Mountain ,https://www.skiresort.info/ski-resort/boyne-mountain/,98.0,14.0,4.5,6.0,3.5
169, Skiland – Mt. Aurora ,https://www.skiresort.info/ski-resort/skiland-mt-aurora/,40.0,17.0,4.0,9.0,4.0
170, Eaglecrest – Juneau ,https://www.skiresort.info/ski-resort/eaglecrest-juneau/,59.0,17.0,3.4,6.8,6.8
171, Snowy Range ,https://www.skiresort.info/ski-resort/snowy-range/,49.0,16.5,4.5,9.0,3.0
172, Hoodoo Ski Area ,https://www.skiresort.info/ski-resort/hoodoo-ski-area/,59.0,17.0,6.0,8.0,3.0
173, Labrador Mountain ,https://www.skiresort.info/ski-resort/labrador-mountain/,61.0,17.0,6.0,6.0,5.0
174, Nub's Nob Ski Area ,https://www.skiresort.info/ski-resort/nubs-nob-ski-area/,85.0,18.9,6.2,9.0,3.7
175, Giants Ridge ,https://www.skiresort.info/ski-resort/giants-ridge/,58.0,12.0,4.0,5.0,3.0
176, Middlebury College Snow Bowl ,https://www.skiresort.info/ski-resort/middlebury-college-snow-bowl/,60.0,15.0,5.0,4.0,6.0
177, Pomerelle ,https://www.skiresort.info/ski-resort/pomerelle/,45.0,15.0,4.0,7.0,4.0
178, Sipapu ,https://www.skiresort.info/ski-resort/sipapu/,55.0,18.0,3.0,7.0,8.0
179, Catamount ,https://www.skiresort.info/ski-resort/catamount/,69.0,15.0,8.0,4.0,3.0
180, Beech Mountain ,https://www.skiresort.info/ski-resort/beech-mountain/,70.0,14.0,3.0,7.0,4.0
181, Sleeping Giant ,https://www.skiresort.info/ski-resort/sleeping-giant/,46.0,17.0,3.0,8.0,6.0
182, Dollar Mountain – Sun Valley ,https://www.skiresort.info/ski-resort/dollar-mountain-sun-valley/,139.0,9.0,7.0,2.0,0.0
183, Whitetail ,https://www.skiresort.info/ski-resort/whitetail/,79.0,10.2,1.5,5.6,3.1
184, Mt. Ashland ,https://www.skiresort.info/ski-resort/mt-ashland/,52.0,13.0,1.0,7.0,5.0
185, Kelly Canyon ,https://www.skiresort.info/ski-resort/kelly-canyon/,42.0,12.0,4.0,5.0,3.0
186, Shanty Creek Resorts – Schuss Mountain ,https://www.skiresort.info/ski-resort/shanty-creek-resorts-schuss-mountain/,73.0,12.0,5.0,4.0,3.0
187, Jiminy Peak ,https://www.skiresort.info/ski-resort/jiminy-peak/,91.0,9.1,4.1,2.0,3.0
188, Song Mountain ,https://www.skiresort.info/ski-resort/song-mountain/,59.0,13.0,4.5,6.0,2.5
189, Crotched Mountain ,https://www.skiresort.info/ski-resort/crotched-mountain/,69.0,8.0,2.5,4.0,1.5
190, Loup Loup Ski Bowl ,https://www.skiresort.info/ski-resort/loup-loup-ski-bowl/,50.0,11.0,3.0,5.0,3.0
191, Mt. Kato ,https://www.skiresort.info/ski-resort/mt-kato/,46.0,12.0,2.5,4.5,5.0
192, White Pine – Pinedale ,https://www.skiresort.info/ski-resort/white-pine-pinedale/,49.0,11.6,3.7,2.6,5.3
193, Caberfae Peaks ,https://www.skiresort.info/ski-resort/caberfae-peaks/,59.0,11.0,4.0,5.0,2.0
194, Snow King Mountain – Jackson ,https://www.skiresort.info/ski-resort/snow-king-mountain-jackson/,59.0,9.0,3.0,2.5,3.5
195, Tahoe Donner ,https://www.skiresort.info/ski-resort/tahoe-donner/,89.0,14.0,6.0,8.0,0.0
196, Big Powderhorn Mountain ,https://www.skiresort.info/ski-resort/big-powderhorn-mountain/,69.0,10.0,3.5,3.5,3.0
197, Bromley Mountain ,https://www.skiresort.info/ski-resort/bromley-mountain/,91.0,45.0,15.0,18.0,12.0
198, Mt. Bohemia ,https://www.skiresort.info/ski-resort/mt-bohemia/,68.0,13.0,0.0,3.0,10.0
199, Bear Creek Mountain Resort ,https://www.skiresort.info/ski-resort/bear-creek-mountain-resort/,60.0,10.0,3.0,4.0,3.0
200, Suicide Six ,https://www.skiresort.info/ski-resort/suicide-six/,75.0,10.5,3.5,4.0,3.0
201, Meadowlark Ski Lodge ,https://www.skiresort.info/ski-resort/meadowlark-ski-lodge/,48.0,10.0,3.0,4.0,3.0
202, Teton Pass ,https://www.skiresort.info/ski-resort/teton-pass/,50.0,15.0,6.0,5.0,4.0
203, Swain ,https://www.skiresort.info/ski-resort/swain/,59.0,10.9,3.0,4.2,3.7
204, Mt. Waterman ,https://www.skiresort.info/ski-resort/mt-waterman/,60.0,10.0,2.0,2.0,6.0
205, Cooper Spur ,https://www.skiresort.info/ski-resort/cooper-spur/,39.0,10.0,4.0,4.0,2.0
206, Soda Springs ,https://www.skiresort.info/ski-resort/soda-springs/,54.0,10.0,3.0,5.0,2.0
207, Oak Mountain ,https://www.skiresort.info/ski-resort/oak-mountain/,40.0,12.0,6.0,4.0,2.0
208, Spout Springs  (temporarily closed) ,https://www.skiresort.info/ski-resort/spout-springs/,35.0,9.5,3.0,5.0,1.5
209, Whaleback ,https://www.skiresort.info/ski-resort/whaleback/,45.0,11.5,5.2,2.8,3.5
210, Montage Mountain Resort ,https://www.skiresort.info/ski-resort/montage-mountain-resort/,67.0,9.5,2.0,4.0,3.5
211, West Mountain ,https://www.skiresort.info/ski-resort/west-mountain/,79.0,9.7,5.9,2.1,1.7
212, Pine Mountain ,https://www.skiresort.info/ski-resort/pine-mountain/,45.0,9.5,2.5,5.5,1.5
213, Anthony Lakes Mountain Resort ,https://www.skiresort.info/ski-resort/anthony-lakes-mountain-resort/,40.0,10.0,2.0,3.8,4.2
214, Liberty Mountain ,https://www.skiresort.info/ski-resort/liberty-mountain/,77.0,9.0,3.0,4.0,2.0
215, Marquette Mountain ,https://www.skiresort.info/ski-resort/marquette-mountain/,54.0,10.0,1.5,5.0,3.5
216, Mohawk Mountain ,https://www.skiresort.info/ski-resort/mohawk-mountain/,67.0,8.0,3.0,2.0,3.0
217, Otsego – Gaylord ,https://www.skiresort.info/ski-resort/otsego-gaylord/,65.0,7.0,3.0,2.0,2.0
218, Royal Mountain ,https://www.skiresort.info/ski-resort/royal-mountain/,45.0,7.5,2.5,3.0,2.0
219, Big Bear at Masthope Mountain ,https://www.skiresort.info/ski-resort/big-bear-at-masthope-mountain/,64.0,7.0,3.0,2.0,2.0
220, Bousquet ,https://www.skiresort.info/ski-resort/bousquet/,47.0,8.0,3.0,2.0,3.0
221, Alpine Mountain Ski & Snow Tubing Center  (temporarily closed) ,https://www.skiresort.info/ski-resort/alpine-mountain-ski-snow-tubing-center/,55.0,8.0,2.0,4.0,2.0
222, Bear Paw Ski Bowl ,https://www.skiresort.info/ski-resort/bear-paw-ski-bowl/,25.0,10.0,3.0,6.0,1.0
223, Afton Alps ,https://www.skiresort.info/ski-resort/afton-alps/,58.0,8.0,3.0,3.0,2.0
224, Badger Pass ,https://www.skiresort.info/ski-resort/badger-pass/,62.0,10.0,3.5,5.0,1.5
225, Roundtop ,https://www.skiresort.info/ski-resort/roundtop/,73.0,7.5,1.5,3.0,3.0
226, Massanutten ,https://www.skiresort.info/ski-resort/massanutten/,77.0,8.0,2.0,3.5,2.5
227, Hesperus Ski Area ,https://www.skiresort.info/ski-resort/hesperus-ski-area/,39.0,10.0,3.0,5.0,2.0
228, Spring Mountain ,https://www.skiresort.info/ski-resort/spring-mountain/,48.0,8.5,4.0,2.5,2.0
229, Mt. Lemmon Ski Valley ,https://www.skiresort.info/ski-resort/mt-lemmon-ski-valley/,47.0,8.5,2.5,4.0,2.0
230, Mt. La Crosse ,https://www.skiresort.info/ski-resort/mt-la-crosse/,56.0,7.0,1.5,3.0,2.5
231, Sitzmark ,https://www.skiresort.info/ski-resort/sitzmark/,45.0,7.5,2.0,3.0,2.5
232, Laurel Mountain ,https://www.skiresort.info/ski-resort/laurel-mountain/,64.0,8.0,4.0,3.0,1.0
233, Norway Mountain ,https://www.skiresort.info/ski-resort/norway-mountain/,N/A,8.0,2.5,3.5,2.0
234, Black Mountain – Rumford ,https://www.skiresort.info/ski-resort/black-mountain-rumford/,45.0,8.0,2.0,3.5,2.5
235, Alpine Valley Resort – Elkhorn ,https://www.skiresort.info/ski-resort/alpine-valley-resort-elkhorn/,66.0,4.0,1.5,1.5,1.0
236, Ski Brule ,https://www.skiresort.info/ski-resort/ski-brule/,55.0,7.5,2.0,4.0,1.5
237, Cataloochee ,https://www.skiresort.info/ski-resort/cataloochee/,70.0,6.0,1.5,3.0,1.5
