,index,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len,geometry,state,website
56,118,Belleayre Mountain,https://www.skiresort.info/ski-resort/belleayre-mountain/,95.0,Margaretville,The Catskills,20.0,5.0,11.0,4.0,"{-74.50870176642532,42.13065101665164}",New York,http://www.belleayre.com/
57,125,Wachusett Mountain,https://www.skiresort.info/ski-resort/wachusett-mountain/,71.0,Westminster,Massachusetts,12.0,3.6,4.8,3.6,"{-71.88718272382347,42.496646208823535}",Massachusetts,https://www.wachusett.com/
58,126,Pats Peak,https://www.skiresort.info/ski-resort/pats-peak/,72.0,Henniker,New Hampshire,33.0,10.0,8.0,15.0,"{-71.79511253444815,43.15711300033449}",Unknown,Unknown
59,127,Boyne Highlands,https://www.skiresort.info/ski-resort/boyne-highlands/,98.0,Harbor Springs,Michigan,25.7,10.3,7.7,7.7,"{-84.94359571135298,45.47300075505443}",Michigan,http://www.boyne.com/boynehighlands
60,130,Magic Mountain,https://www.skiresort.info/ski-resort/magic-mountain/,74.0,Londonderry,Vermont,23.0,7.0,7.0,9.0,"{-72.76646972399514,43.19468394833611}",Unknown,http://www.magicmtn.com
61,131,Diamond Peak,https://www.skiresort.info/ski-resort/diamond-peak/,109.0,Incline Village,Lake Tahoe,16.3,1.6,7.1,7.6,"{-119.91562830185873,39.2536316126394}",Nevada,http://www.diamondpeak.com/
62,132,Homewood Mountain Resort,https://www.skiresort.info/ski-resort/homewood-mountain-resort/,Empty,Homewood,Lake Tahoe,20.0,6.0,13.0,1.0,"{-120.17251080651721,39.07811855030552}",Unknown,http://www.skihomewood.com/
63,134,Titus Mountain,https://www.skiresort.info/ski-resort/titus-mountain/,49.0,Malone,The Adirondacks,27.0,10.0,10.0,7.0,"{-74.235277777778,44.763333333333016}",New York,Unknown
64,136,Soldier Mountain,https://www.skiresort.info/ski-resort/soldier-mountain/,43.0,Fairfield,Idaho,25.0,9.0,8.0,8.0,"{-114.84175722172614,43.48494636802227}",Idaho,http://www.soldiermountain.com/
65,140,Shawnee Peak,https://www.skiresort.info/ski-resort/shawnee-peak/,75.0,Bridgton,Maine,23.0,4.0,12.0,7.0,"{-70.8180850176301,44.051378195953745}",Maine,http://www.shawneepeak.com/
66,141,Holimont,https://www.skiresort.info/ski-resort/holimont/,75.0,Ellicottville,Chautauqua-Allegheny,20.0,4.0,6.0,10.0,"{-78.68916226727535,42.271112032447604}",New York,https://holimont.com/
67,142,Mt. Shasta Ski Park,https://www.skiresort.info/ski-resort/mt-shasta-ski-park/,65.0,McCloud,California,23.0,5.0,8.0,10.0,"{-122.20078652590671,41.327341353626935}",Unknown,http://www.skipark.com/
