,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len,geometry,state,website,Latitude,Longtitude,date,time,weather_lat,weather_lon,temperature,feels_like,temp_min,temp_max,temp_description,humidity,cloudiness,wind_speed,daily_chance_snow,hourly_chance_snow
57,Red Lodge Mountain,https://www.skiresort.info/ski-resort/red-lodge-mountain/,84.0,Red Lodge,Montana,65.0,11.0,30.0,24.0,"[-109.35125832434292, 45.18872464135545]",Montana,,-109.35125832434292,45.18872464135545,02/23/21,04:42:00,45.1858,-109.2468,25.448000000000025,14.522000000000038,21.2,28.994000000000078,clear sky,53.0,1.0,4.12,0.0,0.0
58,Smugglers' Notch,https://www.skiresort.info/ski-resort/smugglers-notch/,90.0,Jeffersonville,Vermont,78.0,13.0,41.0,24.0,,,,,,02/23/21,23:42:00,38.2776,-85.7372,40.24400000000007,32.738000000000035,35.996000000000045,44.6,clear sky,56.0,1.0,2.47,0.0,0.0
59,Bridger Bowl – Bozeman,https://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,63.0,Bozeman,Montana,71.0,20.0,26.0,25.0,,,,,,02/23/21,21:42:00,45.6796,-111.0386,21.128000000000068,14.072000000000038,17.99600000000005,26.6,clear sky,54.0,1.0,0.88,65.0,0.0
60,Bogus Basin,https://www.skiresort.info/ski-resort/bogus-basin/,64.0,Boise,Idaho,50.0,11.0,22.0,17.0,"[-116.08806273417413, 43.766873514853245]",Idaho,http://www.bogusbasin.org/,-116.08806273417413,43.766873514853245,02/23/21,23:42:00,43.6135,-116.2035,34.232000000000006,27.104000000000052,33.8,35.006000000000036,broken clouds,55.0,75.0,1.67,0.0,0.0
61,Kirkwood,https://www.skiresort.info/ski-resort/kirkwood/,119.0,Kirkwood,Lake Tahoe,65.0,15.0,30.0,20.0,"[-120.06582143853203, 38.67714158103975]",California,http://www.kirkwood.com/,-120.06582143853203,38.67714158103975,02/23/21,22:42:00,38.5834,-90.4068,50.288000000000046,40.87400000000001,48.00200000000007,53.00600000000003,broken clouds,58.0,75.0,5.14,0.0,0.0
62,Gore Mountain,https://www.skiresort.info/ski-resort/gore-mountain/,94.0,North Creek,The Adirondacks,58.2,6.7,28.2,23.3,"[-74.02378163740998, 43.67956294100719]",,http://www.goremountain.com,-74.02378163740998,43.67956294100719,02/23/21,20:42:00,47.8195,-122.1762,36.01400000000003,27.590000000000018,33.008,39.00200000000007,overcast clouds,93.0,90.0,4.12,0.0,0.0
63,Sierra at Tahoe,https://www.skiresort.info/ski-resort/sierra-at-tahoe/,115.0,South Lake Tahoe,Lake Tahoe,46.5,12.0,23.0,11.5,"[-120.07588704046783, 38.79653993866911]",,http://www.sierraattahoe.com/,-120.07588704046783,38.79653993866911,02/23/21,20:42:00,38.9332,-119.9844,29.444000000000077,21.704000000000054,26.6,35.996000000000045,clear sky,63.0,1.0,2.06,0.0,0.0
64,Crystal Mountain (WA),https://www.skiresort.info/ski-resort/crystal-mountain-wa/,149.0,Enumclaw,Washington State,50.0,8.0,27.0,15.0,,,,,,02/23/21,20:42:00,47.2043,-121.9915,35.31200000000005,29.588000000000047,32.0,39.00200000000007,light snow,90.0,100.0,1.79,9.0,0.0
65,49 Degrees North Mountain Resort,https://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,62.0,Chewelah,Washington State,68.0,20.0,27.0,21.0,"[-117.56779086266143, 48.29241317934455]",,http://www.ski49n.com,-117.56779086266143,48.29241317934455,02/23/21,20:42:00,48.2763,-117.7155,29.012000000000054,22.76600000000001,28.00400000000005,30.002000000000077,overcast clouds,80.0,100.0,1.28,26.0,41.0
66,Timberline,https://www.skiresort.info/ski-resort/timberline/,89.0,Welches,Oregon,31.0,8.0,15.0,8.0,"[-89.93217229843097, 43.14051444932901]",Wisconsin,,-89.93217229843097,43.14051444932901,02/23/21,20:42:00,45.3282,-121.9609,33.260000000000076,23.414000000000033,19.00400000000005,39.00200000000007,light snow,88.0,100.0,4.77,61.0,33.0
