,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len
93, Dodge Ridge ,https://www.skiresort.info/ski-resort/dodge-ridge/,78.0,Sonora,California,50.0,10.0,20.0,20.0
94, Cranmore Mountain Resort ,https://www.skiresort.info/ski-resort/cranmore-mountain-resort/,89.0,North Conway,New Hampshire,43.0,16.0,19.0,8.0
95, Attitash Mountain Resort ,https://www.skiresort.info/ski-resort/attitash-mountain-resort/,94.0,North Conway,New Hampshire,37.0,7.4,17.4,12.2
96, Mt. Sunapee ,https://www.skiresort.info/ski-resort/mt-sunapee/,99.0,Newbury,New Hampshire,30.0,8.0,16.0,6.0
97, Sundance ,https://www.skiresort.info/ski-resort/sundance/,85.0,Provo,Utah,44.0,15.0,20.0,9.0
98, Silver Mountain ,https://www.skiresort.info/ski-resort/silver-mountain/,62.0,Kellogg,Idaho,25.0,4.0,8.0,13.0
99, Brundage Mountain ,https://www.skiresort.info/ski-resort/brundage-mountain/,70.0,McCall,Idaho,30.0,6.0,15.0,9.0
100, Bear Mountain – Big Bear Lake ,https://www.skiresort.info/ski-resort/bear-mountain-big-bear-lake/,N/A,Big Bear Lake,California,27.2,8.0,11.2,8.0
101, Terry Peak ,https://www.skiresort.info/ski-resort/terry-peak/,58.0,Lead,South Dakota,16.0,4.7,7.2,4.1
102, Ragged Mountain ,https://www.skiresort.info/ski-resort/ragged-mountain/,84.0,Danbury,New Hampshire,22.5,4.5,10.0,8.0
103, Snowshoe Mountain ,https://www.skiresort.info/ski-resort/snowshoe-mountain/,119.0,Marlinton,West Virginia,31.0,14.0,11.0,6.0
104, Saddleback ,https://www.skiresort.info/ski-resort/saddleback/,79.0,Rangeley,Maine,22.0,4.0,8.0,10.0
105, Snow Valley ,https://www.skiresort.info/ski-resort/snow-valley/,89.0,Highland,California,34.0,4.0,20.0,10.0
106, Beaver Mountain ,https://www.skiresort.info/ski-resort/beaver-mountain/,50.0,Logan,Utah,30.0,10.0,12.0,8.0
107, Wildcat Mountain ,https://www.skiresort.info/ski-resort/wildcat-mountain/,94.0,Jackson,New Hampshire,25.0,5.2,12.1,7.7
